QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	184	27	17	9	2
QUAL	0	185	41	23	18	1
QUAL	0	186	25	15	10	4
QUAL	0	187	36	19	17	4
QUAL	0	188	46	21	24	6
QUAL	0	189	27	13	14	3
QUAL	0	190	45	29	15	1
QUAL	0	191	35	17	16	3
QUAL	0	192	28	14	13	1
QUAL	0	193	39	21	17	2
QUAL	0	194	29	9	19	5
QUAL	0	195	24	12	11	6
QUAL	0	196	29	12	16	2
QUAL	0	197	30	16	13	3
QUAL	0	198	31	10	17	0
QUAL	0	199	24	11	13	3
QUAL	0	200	25	14	11	3
QUAL	0	201	28	13	14	4
QUAL	0	202	27	7	18	3
QUAL	0	203	37	22	12	1
QUAL	0	204	41	22	18	2
QUAL	0	205	38	22	16	5
QUAL	0	206	35	18	15	2
QUAL	0	207	32	15	15	5
QUAL	0	208	33	22	10	2
QUAL	0	209	29	15	13	2
QUAL	0	210	46	23	23	4
QUAL	0	211	50	24	23	3
QUAL	0	212	44	27	13	2
QUAL	0	213	41	21	20	7
QUAL	0	214	31	15	15	5
QUAL	0	215	42	17	25	3
QUAL	0	216	38	21	17	4
QUAL	0	217	42	21	19	2
QUAL	0	218	36	19	17	5
QUAL	0	219	37	21	16	0
QUAL	0	220	23	9	14	3
QUAL	0	221	33	19	12	5
QUAL	0	222	41	22	18	1
QUAL	0	223	20	14	5	2
QUAL	0	224	45	24	21	1
QUAL	0	225	27	9	17	1
QUAL	0	226	19	7	11	3
QUAL	0	227	25	9	14	3
QUAL	0	228	27	13	12	3
QUAL	0	229	31	21	10	2
QUAL	0	230	19	9	10	4
QUAL	0	231	23	11	11	1
QUAL	0	232	37	19	17	2
QUAL	0	233	26	16	8	3
QUAL	0	234	25	17	8	7
QUAL	0	235	30	15	13	1
QUAL	0	236	43	25	17	1
QUAL	0	237	37	21	15	5
QUAL	0	238	40	17	22	5
QUAL	0	239	38	22	16	3
QUAL	0	240	36	17	16	3
QUAL	0	241	33	16	16	5
QUAL	0	242	30	14	14	1
QUAL	0	243	39	22	16	2
QUAL	0	244	40	22	16	3
QUAL	0	245	32	19	12	2
QUAL	0	246	25	9	15	3
QUAL	0	247	39	17	17	5
QUAL	0	248	38	22	15	3
QUAL	0	249	29	19	9	0
QUAL	0	250	20	13	7	2
QUAL	0	251	39	18	21	5
QUAL	0	252	30	15	15	6
QUAL	0	253	29	11	17	1
QUAL	0	254	23	13	10	3
QUAL	0	255	27	17	9	1
QUAL	0	256	28	13	15	0
QUAL	0	257	34	21	13	4
QUAL	0	258	37	13	21	3
QUAL	0	259	22	13	8	2
QUAL	0	260	22	14	8	3
QUAL	0	261	31	15	16	5
QUAL	0	262	28	16	12	7
QUAL	0	263	29	16	11	5
QUAL	0	264	39	16	19	6
QUAL	0	265	37	21	16	2
QUAL	0	266	29	12	16	3
QUAL	0	267	33	13	19	1
QUAL	0	268	38	15	23	2
QUAL	0	269	29	12	17	3
QUAL	0	270	43	22	21	0
QUAL	0	271	40	14	25	1
QUAL	0	272	24	13	7	3
QUAL	0	273	29	13	14	1
QUAL	0	274	30	16	12	1
QUAL	0	275	36	22	14	3
QUAL	0	276	33	16	17	2
QUAL	0	277	28	18	9	6
QUAL	0	278	34	18	16	1
QUAL	0	279	35	21	14	2
QUAL	0	280	25	12	11	5
QUAL	0	281	29	12	17	0
QUAL	0	282	30	16	14	2
QUAL	0	283	29	16	12	2
QUAL	0	284	32	15	16	1
QUAL	0	285	20	14	5	2
QUAL	0	286	32	18	14	5
QUAL	0	287	19	11	8	3
QUAL	0	288	25	12	12	1
QUAL	0	289	29	18	9	3
QUAL	0	290	38	21	14	3
QUAL	0	291	37	15	21	3
QUAL	0	292	30	16	13	2
QUAL	0	293	33	17	14	3
QUAL	0	294	31	16	14	2
QUAL	0	295	25	12	11	3
QUAL	0	296	40	25	15	2
QUAL	0	297	24	10	14	4
QUAL	0	298	36	18	18	4
