Old Specimen ID,DNA plate,DNA plate well,Specimen ID,Label,Adductor Sample,Shell Sample,Shell Length (cm - recorded by collection team),Tallest hinge height,Shell Length (mm - recorded by HGH),Estimate for Shell Length,Extracted,Species Diagnostic (RFLP)
SS0819_206,2019-12-11 pl1 Spis HGH,52,BLP0819_206,206,Yes,PI,,,,,12/11/19,S. solidisima
SS0819_207,2019-12-11 pl1 Spis HGH,53,BLP0819_207,207,Yes,BS,,,,,12/11/19,S. solidisima
SS0819_208,2019-12-11 pl1 Spis HGH,54,BLP0819_208,208,Yes,N,,,,,12/11/19,S. solidisima
SS0819_209,2019-12-11 pl1 Spis HGH,55,BLP0819_209,209,Yes,BI,,,,,12/11/19,S. solidisima
SS0819_210,2019-12-11 pl1 Spis HGH,56,BLP0819_210,210,Yes,N (?),13,,130,130,12/11/19,S. solidisima
SS0819_211,2019-12-11 pl1 Spis HGH,51,BLP0819_211,211,Yes,Partial,3,,30.8,30.8,12/11/19,S. solidisima
SS0819_212,2019-12-11 pl1 Spis HGH,58,BLP0819_212,212,Yes,YI,6.5,,66.5,66.5,12/11/19,S. solidisima
SS0819_213,2019-12-11 pl1 Spis HGH,59,BLP0819_213,213,Yes,YI,6.1,,61.7,61.7,12/11/19,S. solidisima
SS0819_214,2019-12-11 pl1 Spis HGH,60,BLP0819_214,214,Yes,YS,3.5,,35.9,35.9,12/11/19,S. solidisima
SS0819_215,2019-12-11 pl1 Spis HGH,61,BLP0819_215,215,Yes,YI,3.3,,35.5,35.5,12/11/19,S. solidisima
SS0819_216,2019-12-11 pl1 Spis HGH,62,BLP0819_216,216,Yes,YI,2.5,,26.1,26.1,12/11/19,S. solidisima
SS0819_217,2019-12-11 pl1 Spis HGH,63,BLP0819_217,217,Yes,BS,,,NaN,,12/11/19,S. solidisima
SS0819_218,2019-12-11 pl1 Spis HGH,64,BLP0819_218,218,Yes,BI,,,NaN,,12/11/19,S. solidisima
SS0819_219,2019-12-11 pl1 Spis HGH,65,BLP0819_219,219,Yes,PI,MIP,,NaN,,12/11/19,S. solidisima
SS0819_220,2019-12-11 pl1 Spis HGH,66,BLP0819_220,220,Yes,BS,,,,,12/11/19,S. solidisima
SS0819_221,2019-12-11 pl1 Spis HGH,67,BLP0819_221,221,Yes,BI,,,,,12/11/19,Failed to amplify; needs retest
SS0819_222,2019-12-11 pl1 Spis HGH,68,BLP0819_222,222,Yes,YI,10.5,,105,105,12/11/19,S. solidisima
SS0819_223,2019-12-11 pl1 Spis HGH,69,BLP0819_223,223,Yes,Y,3,,30,30,12/11/19,S. solidisima
SS0819_224,2019-12-11 pl1 Spis HGH,70,BLP0819_224,224,Yes,YS,3.4,,34,34,12/11/19,S. solidisima
SS0819_225,2019-12-11 pl1 Spis HGH,71,BLP0819_225,225,Yes,YS,3.2,,32,32,12/11/19,S. solidisima
SS0819_226,2019-12-11 pl1 Spis HGH,72,BLP0819_226,226,Yes,YI,3.5,,35,35,12/11/19,S. solidisima
SS0819_227,2019-12-11 pl1 Spis HGH,73,BLP0819_227,227,Yes,YS,3.5,,35,35,12/11/19,S. solidisima
SS0819_228,2019-12-11 pl1 Spis HGH,74,BLP0819_228,228,Yes,PI,,,,,12/11/19,S. solidisima
SS0819_229,2019-12-11 pl1 Spis HGH,75,BLP0819_229,229,Yes,PI,,,,,12/11/19,Failed to amplify; needs retest
SS0819_230,2019-12-11 pl1 Spis HGH,76,BLP0819_230,230,Yes,BS,,,,,12/11/19,S. solidisima
SS0819_231,2019-12-11 pl1 Spis HGH,77,BLP0819_231,231,Yes,YS,7.4,,74,74,12/11/19,S. solidisima
SS0819_232,2019-12-11 pl1 Spis HGH,78,BLP0819_232,232,Yes,YI,3.4,,34,34,12/11/19,S. solidisima
SS0819_233,2019-12-11 pl1 Spis HGH,79,BLP0819_233,233,Yes,YS,6.3,,63,63,12/11/19,S. solidisima
SS0819_234,2019-12-11 pl1 Spis HGH,80,BLP0819_234,234,Yes,YI,7.8,,78,78,12/11/19,S. solidisima
SS0819_235,2019-12-11 pl1 Spis HGH,81,BLP0819_235,235,Yes,YI,11.5,,115,115,12/11/19,S. solidisima
SS0819_236,2019-12-11 pl1 Spis HGH,82,BLP0819_236,236,Yes,PS,,,,,12/11/19,Failed to amplify; needs retest
SS0819_237,2019-12-11 pl1 Spis HGH,83,BLP0819_237,237,Yes,YI,7.5,,75,75,12/11/19,S. solidisima
SS0819_238,2019-12-11 pl1 Spis HGH,84,BLP0819_238,238,Yes,BI,,,,,12/11/19,Failed to amplify; needs retest
SS0819_239,2019-12-11 pl1 Spis HGH,85,BLP0819_239,239,Yes,YI,3.4,,34,34,12/11/19,S. solidisima
SS0819_240,2019-12-11 pl1 Spis HGH,86,BLP0819_240,240,Yes,YI,3,,30,30,12/11/19,S. solidisima
SS0819_241,20200124pl2,2,BLP0819_241,241,Yes,YI,2.7,,27,27,1/24/20,S. solidisima
SS0819_242,20200124pl2,3,BLP0819_242,242,Yes,YS,3,,30,30,1/24/20,S. solidisima
SS0819_243,20200124pl2,4,BLP0819_243,243,Yes,YI,1.6,,17.5,17.5,1/24/20,S. solidisima
SS0819_244,HGH Spisula #1,1,CUP0819_244,244,Yes,YI,7.3,,73,73,10/3/19,S. solidisima
SS0819_245,HGH Spisula #1,2,CUP0819_245,245,Yes,YS,6.7,,67,67,10/3/19,S. solidisima
SS0819_246,HGH Spisula #1,3,CUP0819_246,246,Yes,YI,12.5,,125,125,10/3/19,S. solidisima
SS0819_247,HGH Spisula #1,4,CUP0819_247,247,Yes,YI,7,,70,70,10/3/19,S. solidisima
SS0819_248,HGH Spisula #1,5,CUP0819_248,248,Yes,YI,6.9,,69,69,10/3/19,S. solidisima
SS0819_249,HGH Spisula #1,6,CUP0819_249,249,Yes,YI,7,,70,70,10/3/19,S. solidisima
SS0819_250,HGH Spisula #1,7,CUP0819_250,250,Yes,YI,6.5,,65,65,10/3/19,S. solidisima
SS0819_251,HGH Spisula #1,8,CUP0819_251,251,Yes,YI,7.1,,71,71,10/3/19,S. solidisima
SS0819_252,HGH Spisula #1,9,CUP0819_252,252,Yes,BI,,,,,10/3/19,S. solidisima
SS0819_253,HGH Spisula #1,10,CUP0819_253,253,Yes,BI,,,,,10/3/19,S. solidisima
SS0819_254,HGH Spisula #1,11,CUP0819_254,254,Yes,YS,6.9,,69,69,10/3/19,S. solidisima
SS0819_255,HGH Spisula #1,12,CUP0819_255,255,Yes,YI,7.3,,73,73,10/3/19,S. solidisima
