Old Specimen ID,DNA plate,DNA plate well,Specimen ID,Label,Adductor Sample,Shell Sample,Shell Length (cm - recorded by collection team),Tallest hinge height,Shell Length (mm - recorded by HGH),Estimate for Shell Length,Extracted,Species Diagnostic (RFLP)
SS0819_382,20200124pl2,58,CUP0819_382,382,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_383,20200124pl2,59,CUP0819_383,383,Yes,PI,,49.8,,119.6886648,1/24/20,S. solidisima
SS0819_384,20200124pl2,60,CUP0819_384,384,Yes,PS,,,,,1/24/20,S. solidisima
SS0819_385,20200124pl2,61,CUP0819_385,385,Yes,YI,,,,,1/24/20,S. solidisima
SS0819_386,20200124pl2,62,CUP0819_386,386,Yes,YI,,,,,1/24/20,S. solidisima
SS0819_387,20200124pl2,63,CUP0819_387,387,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_388,20200124pl2,64,CUP0819_388,388,Yes,PI,,,,,1/24/20,S. solidisima
SS0819_389,20200124pl2,65,CUP0819_389,389,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_390,20200124pl2,66,CUP0819_390,390,Yes,PI,,,,,1/24/20,S. solidisima
SS0819_391,20200124pl2,67,CUP0819_391,391,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_392,20200124pl2,68,CUP0819_392,392,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_393,20200124pl2,69,CUP0819_393,393,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_394,20200124pl2,70,CUP0819_394,394,Yes,YI,3.5,,37.3,37.3,1/24/20,S. solidisima
SS0819_395,20200124pl2,71,CUP0819_395,395,Yes,PS,,,,,1/24/20,S. solidisima
SS0819_396,20200124pl2,72,CUP0819_396,396,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_397,20200124pl2,74,CUP0819_397,397,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_398,20200124pl2,75,CUP0819_398,398,Yes,PS,,,,,1/24/20,S. solidisima
SS0819_399,20200124pl2,76,CUP0819_399,399,Yes,YI,3,,32.5,32.5,1/24/20,S. solidisima
SS0819_400,20200124pl2,77,CUP0819_400,400,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_401,20200124pl2,78,CUP0819_401,401,Yes,PI,,,,,1/24/20,S. solidisima
SS0819_402,20200124pl2,79,CUP0819_402,402,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_403,20200124pl1,86,CUP0819_403,403,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_404,20200124pl1,87,CUP0819_404,404,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_405,20200124pl1,88,CUP0819_405,405,Yes,YI,3,,31.8,31.8,1/24/20,S. solidisima
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
