DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	145	0	0.000000	168	0.063432
DP	0	146	0	0.000000	152	0.057391
DP	0	147	0	0.000000	161	0.060789
DP	0	148	0	0.000000	165	0.062299
DP	0	149	0	0.000000	147	0.055503
DP	0	150	1	0.000070	180	0.067963
DP	0	151	0	0.000000	152	0.057391
DP	0	152	0	0.000000	170	0.064187
DP	0	153	0	0.000000	115	0.043421
DP	0	154	0	0.000000	125	0.047197
DP	0	155	0	0.000000	149	0.056258
DP	0	156	0	0.000000	120	0.045309
DP	0	157	0	0.000000	118	0.044554
DP	0	158	0	0.000000	119	0.044931
DP	0	159	0	0.000000	116	0.043798
DP	0	160	0	0.000000	119	0.044931
DP	0	161	0	0.000000	115	0.043421
DP	0	162	0	0.000000	126	0.047574
DP	0	163	0	0.000000	101	0.038135
DP	0	164	0	0.000000	108	0.040778
DP	0	165	0	0.000000	100	0.037757
DP	0	166	0	0.000000	94	0.035492
DP	0	167	0	0.000000	84	0.031716
DP	0	168	0	0.000000	92	0.034737
DP	0	169	0	0.000000	88	0.033226
DP	0	170	0	0.000000	98	0.037002
DP	0	171	0	0.000000	120	0.045309
DP	0	172	0	0.000000	122	0.046064
DP	0	173	0	0.000000	138	0.052105
DP	0	174	0	0.000000	98	0.037002
DP	0	175	0	0.000000	96	0.036247
DP	0	176	0	0.000000	89	0.033604
DP	0	177	0	0.000000	80	0.030206
DP	0	178	0	0.000000	90	0.033981
DP	0	179	0	0.000000	99	0.037380
DP	0	180	0	0.000000	88	0.033226
DP	0	181	0	0.000000	88	0.033226
DP	0	182	0	0.000000	99	0.037380
DP	0	183	0	0.000000	94	0.035492
DP	0	184	0	0.000000	86	0.032471
DP	0	185	0	0.000000	62	0.023409
DP	0	186	0	0.000000	93	0.035114
DP	0	187	0	0.000000	78	0.029451
DP	0	188	0	0.000000	90	0.033981
DP	0	189	0	0.000000	85	0.032094
DP	0	190	0	0.000000	89	0.033604
DP	0	191	0	0.000000	91	0.034359
DP	0	192	0	0.000000	51	0.019256
DP	0	193	0	0.000000	67	0.025297
DP	0	194	0	0.000000	71	0.026808
DP	0	195	0	0.000000	80	0.030206
DP	0	196	0	0.000000	83	0.031338
DP	0	197	0	0.000000	71	0.026808
DP	0	198	0	0.000000	61	0.023032
DP	0	199	0	0.000000	75	0.028318
DP	0	200	0	0.000000	86	0.032471
DP	0	201	0	0.000000	70	0.026430
DP	0	202	0	0.000000	53	0.020011
DP	0	203	0	0.000000	61	0.023032
DP	0	204	0	0.000000	85	0.032094
DP	0	205	0	0.000000	64	0.024165
DP	0	206	0	0.000000	77	0.029073
DP	0	207	0	0.000000	39	0.014725
DP	0	208	0	0.000000	76	0.028695
DP	0	209	0	0.000000	76	0.028695
DP	0	210	0	0.000000	72	0.027185
DP	0	211	0	0.000000	64	0.024165
DP	0	212	0	0.000000	57	0.021522
DP	0	213	0	0.000000	56	0.021144
DP	0	214	0	0.000000	46	0.017368
DP	0	215	0	0.000000	43	0.016236
DP	0	216	0	0.000000	56	0.021144
DP	0	217	0	0.000000	46	0.017368
DP	0	218	0	0.000000	61	0.023032
DP	0	219	0	0.000000	52	0.019634
DP	0	220	0	0.000000	43	0.016236
DP	0	221	0	0.000000	58	0.021899
DP	0	222	0	0.000000	69	0.026052
DP	0	223	0	0.000000	51	0.019256
DP	0	224	0	0.000000	64	0.024165
DP	0	225	0	0.000000	40	0.015103
DP	0	226	0	0.000000	74	0.027940
DP	0	227	0	0.000000	41	0.015480
DP	0	228	0	0.000000	44	0.016613
DP	0	229	0	0.000000	50	0.018879
DP	0	230	0	0.000000	53	0.020011
DP	0	231	0	0.000000	59	0.022277
DP	0	232	0	0.000000	61	0.023032
DP	0	233	0	0.000000	69	0.026052
DP	0	234	0	0.000000	54	0.020389
DP	0	235	0	0.000000	53	0.020011
DP	0	236	0	0.000000	39	0.014725
DP	0	237	0	0.000000	46	0.017368
DP	0	238	0	0.000000	38	0.014348
DP	0	239	0	0.000000	47	0.017746
DP	0	240	0	0.000000	55	0.020766
DP	0	241	0	0.000000	50	0.018879
DP	0	242	0	0.000000	62	0.023409
DP	0	243	0	0.000000	42	0.015858
DP	0	244	0	0.000000	55	0.020766
DP	0	245	0	0.000000	41	0.015480
DP	0	246	0	0.000000	39	0.014725
DP	0	247	0	0.000000	33	0.012460
DP	0	248	0	0.000000	31	0.011705
DP	0	249	0	0.000000	43	0.016236
DP	0	250	0	0.000000	28	0.010572
DP	0	251	0	0.000000	35	0.013215
DP	0	252	0	0.000000	44	0.016613
DP	0	253	0	0.000000	36	0.013593
