QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	179	210	104	78	14
QUAL	0	180	258	116	119	22
QUAL	0	181	278	131	130	14
QUAL	0	182	192	97	78	21
QUAL	0	183	246	121	100	15
QUAL	0	184	193	98	69	15
QUAL	0	185	200	92	81	13
QUAL	0	186	231	103	100	12
QUAL	0	187	234	117	100	14
QUAL	0	188	191	94	74	15
QUAL	0	189	226	93	99	25
QUAL	0	190	398	221	158	18
QUAL	0	191	244	123	93	11
QUAL	0	192	177	83	59	15
QUAL	0	193	210	104	86	12
QUAL	0	194	290	143	120	18
QUAL	0	195	165	74	66	12
QUAL	0	196	245	115	102	14
QUAL	0	197	249	114	107	15
QUAL	0	198	197	106	66	9
QUAL	0	199	190	98	66	10
QUAL	0	200	230	108	100	18
QUAL	0	201	251	126	98	20
QUAL	0	202	174	84	65	11
QUAL	0	203	171	85	62	12
QUAL	0	204	217	95	96	18
QUAL	0	205	188	102	66	12
QUAL	0	206	174	80	67	9
QUAL	0	207	177	89	64	20
QUAL	0	208	189	90	85	8
QUAL	0	209	185	93	70	14
QUAL	0	210	184	91	76	6
QUAL	0	211	200	85	86	11
QUAL	0	212	217	107	86	17
QUAL	0	213	202	101	77	11
QUAL	0	214	173	77	71	13
QUAL	0	215	174	84	70	4
QUAL	0	216	161	86	63	8
QUAL	0	217	252	120	107	15
QUAL	0	218	139	63	58	9
QUAL	0	219	181	82	78	5
QUAL	0	220	191	100	78	8
QUAL	0	221	166	82	59	8
QUAL	0	222	182	86	74	9
QUAL	0	223	155	76	59	8
QUAL	0	224	202	88	88	8
QUAL	0	225	158	67	70	10
QUAL	0	226	161	76	61	8
QUAL	0	227	151	78	55	11
QUAL	0	228	180	87	66	6
QUAL	0	229	173	74	73	10
QUAL	0	230	177	75	87	4
QUAL	0	231	162	70	69	8
QUAL	0	232	171	77	68	4
QUAL	0	233	175	88	63	10
QUAL	0	234	161	80	58	14
QUAL	0	235	147	72	54	8
QUAL	0	236	183	76	79	13
QUAL	0	237	202	92	82	13
QUAL	0	238	139	61	57	10
QUAL	0	239	141	72	50	11
QUAL	0	240	207	94	88	12
QUAL	0	241	142	67	56	6
QUAL	0	242	137	66	54	13
QUAL	0	243	154	73	63	7
QUAL	0	244	166	75	69	9
QUAL	0	245	129	57	47	6
QUAL	0	246	157	69	64	11
QUAL	0	247	158	75	68	11
QUAL	0	248	148	72	58	9
QUAL	0	249	134	61	45	7
QUAL	0	250	117	54	45	7
QUAL	0	251	150	84	51	8
QUAL	0	252	127	65	48	5
QUAL	0	253	117	52	47	15
QUAL	0	254	102	53	36	5
QUAL	0	255	147	74	55	9
QUAL	0	256	119	57	46	14
QUAL	0	257	113	57	39	5
QUAL	0	258	150	72	56	1
QUAL	0	259	176	89	72	16
QUAL	0	260	153	73	59	12
QUAL	0	261	128	65	40	6
QUAL	0	262	146	73	53	8
QUAL	0	263	117	63	41	11
QUAL	0	264	165	92	60	6
QUAL	0	265	104	50	41	10
QUAL	0	266	136	69	45	10
QUAL	0	267	171	80	74	12
QUAL	0	268	125	48	58	7
QUAL	0	269	131	55	50	7
QUAL	0	270	134	64	58	6
QUAL	0	271	154	68	69	14
QUAL	0	272	137	55	54	8
QUAL	0	273	127	58	58	5
QUAL	0	274	113	54	49	8
QUAL	0	275	110	54	34	3
QUAL	0	276	104	45	48	7
QUAL	0	277	114	52	48	5
QUAL	0	278	144	65	56	5
QUAL	0	279	115	49	49	10
