Intensity Value	Number of Pixels
  257.00000	2089
   94.08547	0
   94.29548	0
   94.50549	0
   94.71551	0
  258.00000	1963
   95.13553	0
   95.34554	0
   95.55556	0
   95.76557	0
  259.00000	1913
   96.18559	0
   96.39560	0
   96.60562	0
  260.00000	1936
   97.02564	0
   97.23565	0
   97.44567	0
   97.65568	0
  261.00000	2040
   98.07570	0
   98.28571	0
   98.49573	0
   98.70574	0
  262.00000	2094
   99.12576	0
   99.33578	0
   99.54579	0
   99.75580	0
  263.00000	1957
  100.17582	0
  100.38584	0
  100.59585	0
  264.00000	1924
  101.01587	0
  101.22589	0
  101.43590	0
  101.64591	0
  265.00000	1966
  102.06593	0
  102.27595	0
  102.48596	0
  102.69597	0
  266.00000	1958
  103.11600	0
  103.32601	0
  103.53602	0
  103.74603	0
  267.00000	1895
  104.16606	0
  104.37607	0
  104.58608	0
  268.00000	1947
  105.00611	0
  105.21612	0
  105.42613	0
  105.63614	0
  269.00000	1931
  106.05617	0
  106.26618	0
  106.47619	0
  106.68620	0
  270.00000	2015
  107.10623	0
  107.31624	0
  107.52625	0
  107.73626	0
  271.00000	2078
  108.15629	0
  108.36630	0
  108.57631	0
  108.78632	0
  272.00000	2117
  109.20635	0
  109.41636	0
  109.62637	0
  273.00000	2080
  110.04640	0
  110.25641	0
  110.46642	0
  110.67643	0
  274.00000	2090
  111.09646	0
  111.30647	0
  111.51648	0
  111.72650	0
  275.00000	2186
  112.14652	0
  112.35653	0
  112.56654	0
  112.77656	0
  276.00000	2153
  113.19658	0
  113.40659	0
  113.61661	0
  277.00000	2140
  114.03663	0
  114.24664	0
  114.45665	0
  114.66667	0
  278.00000	2270
  115.08669	0
  115.29670	0
  115.50672	0
  115.71673	0
  279.00000	2203
  116.13675	0
  116.34676	0
  116.55678	0
  116.76679	0
  280.00000	2398
  117.18681	0
  117.39683	0
  117.60684	0
  281.00000	2411
  118.02686	0
  118.23687	0
  118.44689	0
  118.65690	0
  282.00000	2360
  119.07692	0
  119.28694	0
  119.49695	0
  119.70696	0
  283.00000	2518
  120.12698	0
  120.33700	0
  120.54701	0
  120.75702	0
  284.00000	2575
  121.17705	0
  121.38706	0
  121.59707	0
  285.00000	2515
  122.01709	0
  122.22711	0
  122.43712	0
  122.64713	0
  286.00000	2595
  123.06716	0
  123.27717	0
  123.48718	0
  123.69719	0
  287.00000	2738
  124.11722	0
  124.32723	0
  124.53724	0
  124.74725	0
  288.00000	2753
  125.16728	0
  125.37729	0
  125.58730	0
  289.00000	2811
  126.00733	0
  126.21734	0
  126.42735	0
  126.63736	0
  290.00000	2796
  127.05739	0
  127.26740	0
  127.47741	0
  127.68742	0
  291.00000	2912
  128.10745	0
  128.31746	0
  128.52747	0
  128.73748	0
  292.00000	2881
  129.15751	0
  129.36752	0
  129.57753	0
  129.78755	0
  293.00000	2953
  130.20757	0
  130.41758	0
  130.62759	0
  294.00000	3016
  131.04762	0
  131.25763	0
  131.46764	0
  131.67766	0
  295.00000	3014
  132.09768	0
  132.30769	0
  132.51770	0
  132.72772	0
  296.00000	3031
  133.14774	0
  133.35775	0
  133.56777	0
  133.77778	0
  297.00000	3051
  134.19780	0
  134.40781	0
  134.61783	0
  298.00000	2940
  135.03785	0
  135.24786	0
  135.45788	0
  135.66789	0
  299.00000	3013
  136.08791	0
  136.29792	0
  136.50794	0
  136.71795	0
  300.00000	3081
  137.13797	0
  137.34799	0
  137.55800	0
  137.76801	0
  301.00000	3158
  138.18803	0
  138.39805	0
  138.60806	0
  302.00000	3125
  139.02808	0
  139.23810	0
  139.44811	0
  139.65812	0
  303.00000	2986
  140.07814	0
  140.28816	0
  140.49817	0
  140.70818	0
  304.00000	3114
  141.12821	0
  141.33822	0
  141.54823	0
  141.75824	0
  305.00000	2988
  142.17827	0
  142.38828	0
  142.59829	0
  306.00000	3081
  143.01832	0
  143.22833	0
  143.43834	0
  143.64835	0
  307.00000	2994
  144.06838	0
  144.27839	0
  144.48840	0
  144.69841	0
  308.00000	2967
  145.11844	0
  145.32845	0
  145.53846	0
  145.74847	0
  309.00000	3141
  146.16850	0
  146.37851	0
  146.58852	0
  310.00000	3137
  147.00855	0
  147.21856	0
  147.42857	0
  147.63858	0
  311.00000	3107
  148.05861	0
  148.26862	0
  148.47863	0
  148.68864	0
  312.00000	3129
  149.10867	0
  149.31868	0
  149.52869	0
  149.73871	0
  313.00000	3222
  150.15873	0
  150.36874	0
  150.57875	0
  150.78877	0
  314.00000	3239
  151.20879	0
  151.41880	0
  151.62882	0
  315.00000	3174
  152.04884	0
  152.25885	0
  152.46886	0
  152.67888	0
  316.00000	3217
  153.09890	0
  153.30891	0
  153.51893	0
  153.72894	0
  317.00000	3220
  154.14896	0
  154.35897	0
  154.56899	0
  154.77900	0
  318.00000	3267
  155.19902	0
  155.40904	0
  155.61905	0
  319.00000	3212
  156.03907	0
  156.24908	0
  156.45910	0
  156.66911	0
  320.00000	3209
  157.08913	0
  157.29915	0
  157.50916	0
  157.71917	0
  321.00000	3316
  158.13919	0
  158.34921	0
  158.55922	0
  158.76923	0
  322.00000	3314
  159.18926	0
  159.39927	0
  159.60928	0
  323.00000	3227
  160.02930	0
  160.23932	0
  160.44933	0
  160.65934	0
  324.00000	3076
  161.07937	0
  161.28938	0
  161.49939	0
  161.70940	0
  325.00000	3147
  162.12943	0
  162.33944	0
  162.54945	0
  162.75946	0
  326.00000	3279
  163.17949	0
  163.38950	0
  163.59951	0
  327.00000	3195
  164.01954	0
  164.22955	0
  164.43956	0
  164.64957	0
  328.00000	3087
  165.06960	0
  165.27961	0
  165.48962	0
  165.69963	0
  329.00000	3109
  166.11966	0
  166.32967	0
  166.53968	0
  166.74969	0
  330.00000	3001
  167.16972	0
  167.37973	0
  167.58974	0
  331.00000	2923
  168.00977	0
  168.21978	0
  168.42979	0
  168.63980	0
  332.00000	3104
  169.05983	0
  169.26984	0
  169.47985	0
  169.68987	0
  333.00000	3055
  170.10989	0
  170.31990	0
  170.52991	0
  170.73993	0
  334.00000	2937
  171.15995	0
  171.36996	0
  171.57998	0
  171.78999	0
  335.00000	2823
  172.21001	0
  172.42002	0
  172.63004	0
  336.00000	2765
  173.05006	0
  173.26007	0
  173.47009	0
  173.68010	0
  337.00000	2825
  174.10012	0
  174.31013	0
  174.52015	0
  174.73016	0
  338.00000	2658
  175.15018	0
  175.36020	0
  175.57021	0
  175.78022	0
  339.00000	2569
  176.20024	0
  176.41026	0
  176.62027	0
  340.00000	2480
  177.04029	0
  177.25031	0
  177.46032	0
  177.67033	0
  341.00000	2436
  178.09035	0
  178.30037	0
  178.51038	0
  178.72039	0
  342.00000	2352
  179.14042	0
  179.35043	0
  179.56044	0
  179.77045	0
  343.00000	2349
  180.19048	0
  180.40049	0
  180.61050	0
  344.00000	2223
  181.03053	0
  181.24054	0
  181.45055	0
  181.66056	0
  345.00000	2073
  182.08059	0
  182.29060	0
  182.50061	0
  182.71062	0
  346.00000	2019
  183.13065	0
  183.34066	0
  183.55067	0
  183.76068	0
  347.00000	1958
  184.18071	0
  184.39072	0
  184.60073	0
  348.00000	1879
  185.02076	0
  185.23077	0
  185.44078	0
  185.65079	0
  349.00000	1732
  186.07082	0
  186.28083	0
  186.49084	0
  186.70085	0
  350.00000	1671
  187.12088	0
  187.33089	0
  187.54090	0
  187.75092	0
  351.00000	1701
  188.17094	0
  188.38095	0
  188.59096	0
  352.00000	1539
  189.01099	0
  189.22100	0
  189.43101	0
  189.64103	0
  353.00000	1543
  190.06105	0
  190.27106	0
  190.48107	0
  190.69109	0
  354.00000	1404
  191.11111	0
  191.32112	0
  191.53114	0
  191.74115	0
  355.00000	1411
  192.16117	0
  192.37118	0
  192.58120	0
  356.00000	1375
  193.00122	0
  193.21123	0
  193.42125	0
  193.63126	0
  357.00000	1303
  194.05128	0
  194.26129	0
  194.47131	0
  194.68132	0
  358.00000	1322
  195.10134	0
  195.31136	0
  195.52137	0
  195.73138	0
  359.00000	1272
  196.15140	0
  196.36142	0
  196.57143	0
  196.78144	0
  360.00000	1273
  197.20147	0
  197.41148	0
  197.62149	0
  361.00000	1214
  198.04151	0
  198.25153	0
  198.46154	0
  198.67155	0
  362.00000	1161
  199.09158	0
  199.30159	0
  199.51160	0
  199.72161	0
  363.00000	1064
  200.14164	0
  200.35165	0
  200.56166	0
  200.77167	0
  364.00000	1074
  201.19170	0
  201.40171	0
  201.61172	0
  365.00000	1105
  202.03175	0
  202.24176	0
  202.45177	0
  202.66178	0
  366.00000	1060
  203.08181	0
  203.29182	0
  203.50183	0
  203.71184	0
  367.00000	961
  204.13187	0
  204.34188	0
  204.55189	0
  204.76190	0
  368.00000	952
  205.18193	0
  205.39194	0
  205.60195	0
  369.00000	1033
  206.02198	0
  206.23199	0
  206.44200	0
  206.65201	0
  370.00000	898
  207.07204	0
  207.28205	0
  207.49206	0
  207.70208	0
  371.00000	929
  208.12210	0
  208.33211	0
  208.54212	0
  208.75214	0
  372.00000	866
  209.17216	0
  209.38217	0
  209.59219	0
  373.00000	824
  210.01221	0
  210.22222	0
  210.43223	0
  210.64225	0
  374.00000	820
  211.06227	0
  211.27228	0
  211.48230	0
  211.69231	0
  375.00000	783
  212.11233	0
  212.32234	0
  212.53236	0
  212.74237	0
  376.00000	804
  213.16239	0
  213.37241	0
  213.58242	0
  377.00000	806
  214.00244	0
  214.21245	0
  214.42247	0
  214.63248	0
  378.00000	782
  215.05250	0
  215.26252	0
  215.47253	0
  215.68254	0
  379.00000	710
  216.10256	0
  216.31258	0
  216.52259	0
  216.73260	0
  380.00000	731
  217.15263	0
  217.36264	0
  217.57265	0
  217.78266	0
  381.00000	732
  218.20269	0
  218.41270	0
  218.62271	0
  382.00000	664
  219.04274	0
  219.25275	0
  219.46276	0
  219.67277	0
  383.00000	653
  220.09280	0
  220.30281	0
  220.51282	0
  220.72283	0
  384.00000	687
  221.14286	0
  221.35287	0
  221.56288	0
  221.77289	0
  385.00000	659
  222.19292	0
  222.40293	0
  222.61294	0
  386.00000	654
  223.03297	0
  223.24298	0
  223.45299	0
  223.66300	0
  387.00000	581
  224.08303	0
  224.29304	0
  224.50305	0
  224.71306	0
  388.00000	565
  225.13309	0
  225.34310	0
  225.55311	0
  225.76313	0
  389.00000	563
  226.18315	0
  226.39316	0
  226.60317	0
  390.00000	597
  227.02320	0
  227.23321	0
  227.44322	0
  227.65324	0
  391.00000	621
  228.07326	0
  228.28327	0
  228.49328	0
  228.70330	0
  392.00000	514
  229.12332	0
  229.33333	0
  229.54335	0
  229.75336	0
  393.00000	526
  230.17338	0
  230.38339	0
  230.59341	0
  394.00000	551
  231.01343	0
  231.22344	0
  231.43346	0
  231.64347	0
  395.00000	513
  232.06349	0
  232.27350	0
  232.48352	0
  232.69353	0
  396.00000	474
  233.11355	0
  233.32357	0
  233.53358	0
  233.74359	0
  397.00000	475
  234.16361	0
  234.37363	0
  234.58364	0
  398.00000	442
  235.00366	0
  235.21368	0
  235.42369	0
  235.63370	0
  399.00000	412
  236.05372	0
  236.26374	0
  236.47375	0
  236.68376	0
  400.00000	447
  237.10379	0
  237.31380	0
  237.52381	0
  237.73382	0
  401.00000	424
  238.15385	0
  238.36386	0
  238.57387	0
  238.78388	0
  402.00000	406
  239.20391	0
  239.41392	0
  239.62393	0
  403.00000	401
  240.04396	0
  240.25397	0
  240.46398	0
  240.67399	0
  404.00000	387
  241.09402	0
  241.30403	0
  241.51404	0
  241.72405	0
  405.00000	377
  242.14408	0
  242.35409	0
  242.56410	0
  242.77411	0
  406.00000	366
  243.19414	0
  243.40415	0
  243.61416	0
  407.00000	360
  244.03419	0
  244.24420	0
  244.45421	0
  244.66422	0
  408.00000	330
  245.08425	0
  245.29426	0
  245.50427	0
  245.71429	0
  409.00000	375
  246.13431	0
  246.34432	0
  246.55433	0
  246.76435	0
  410.00000	327
  247.18437	0
  247.39438	0
  247.60440	0
  411.00000	305
  248.02442	0
  248.23443	0
  248.44444	0
  248.65446	0
  412.00000	297
  249.07448	0
  249.28449	0
  249.49451	0
  249.70452	0
  413.00000	340
  250.12454	0
  250.33455	0
  250.54457	0
  250.75458	0
  414.00000	321
  251.17460	0
  251.38462	0
  251.59463	0
  415.00000	323
  252.01465	0
  252.22466	0
  252.43468	0
  252.64469	0
  416.00000	298
  253.06471	0
  253.27473	0
  253.48474	0
  253.69475	0
  417.00000	304
  254.11477	0
  254.32479	0
  254.53480	0
  254.74481	0
  418.00000	280
  255.16484	0
  255.37485	0
  255.58486	0
  419.00000	269
  256.00488	0
  256.21490	0
  256.42491	0
  256.63492	0
  420.00000	306
  257.05495	0
  257.26496	0
  257.47497	0
  257.68498	0
  421.00000	234
  258.10501	0
  258.31502	0
  258.52503	0
  258.73504	0
  422.00000	266
  259.15507	0
  259.36508	0
  259.57509	0
  259.78510	0
  423.00000	259
  260.20513	0
  260.41514	0
  260.62515	0
  424.00000	250
  261.04518	0
  261.25519	0
  261.46520	0
  261.67521	0
  425.00000	238
  262.09524	0
  262.30525	0
  262.51526	0
  262.72527	0
  426.00000	224
  263.14530	0
  263.35531	0
  263.56532	0
  263.77534	0
  427.00000	233
  264.19536	0
  264.40537	0
  264.61538	0
  428.00000	246
  265.03541	0
  265.24542	0
  265.45543	0
  265.66545	0
  429.00000	211
  266.08547	0
  266.29548	0
  266.50549	0
  266.71551	0
  430.00000	235
  267.13553	0
  267.34554	0
  267.55556	0
  267.76557	0
  431.00000	218
  268.18559	0
  268.39560	0
  268.60562	0
  432.00000	239
  269.02564	0
  269.23565	0
  269.44567	0
  269.65568	0
  433.00000	224
  270.07570	0
  270.28571	0
  270.49573	0
  270.70574	0
  434.00000	237
  271.12576	0
  271.33578	0
  271.54579	0
  271.75580	0
  435.00000	199
  272.17582	0
  272.38584	0
  272.59585	0
  436.00000	212
  273.01587	0
  273.22589	0
  273.43590	0
  273.64591	0
  437.00000	203
  274.06593	0
  274.27595	0
  274.48596	0
  274.69597	0
  438.00000	228
  275.11600	0
  275.32601	0
  275.53602	0
  275.74603	0
  439.00000	211
  276.16606	0
  276.37607	0
  276.58608	0
  440.00000	216
  277.00611	0
  277.21612	0
  277.42613	0
  277.63614	0
  441.00000	200
  278.05617	0
  278.26618	0
  278.47619	0
  278.68620	0
  442.00000	200
  279.10623	0
  279.31624	0
  279.52625	0
  279.73626	0
  443.00000	226
  280.15629	0
  280.36630	0
  280.57631	0
  280.78632	0
  444.00000	214
  281.20635	0
  281.41636	0
  281.62637	0
  445.00000	219
  282.04640	0
  282.25641	0
  282.46642	0
  282.67643	0
  446.00000	222
  283.09646	0
  283.30647	0
  283.51648	0
  283.72650	0
  447.00000	214
  284.14652	0
  284.35653	0
  284.56654	0
  284.77656	0
  448.00000	191
  285.19658	0
  285.40659	0
  285.61661	0
  449.00000	215
  286.03663	0
  286.24664	0
  286.45665	0
  286.66667	0
  450.00000	225
  287.08669	0
  287.29670	0
  287.50672	0
  287.71673	0
  451.00000	215
  288.13675	0
  288.34676	0
  288.55678	0
  288.76679	0
  452.00000	194
  289.18681	0
  289.39683	0
  289.60684	0
  453.00000	208
  290.02686	0
  290.23687	0
  290.44689	0
  290.65690	0
  454.00000	231
  291.07692	0
  291.28694	0
  291.49695	0
  291.70696	0
  455.00000	194
  292.12698	0
  292.33700	0
  292.54701	0
  292.75702	0
  456.00000	198
  293.17705	0
  293.38706	0
  293.59707	0
  457.00000	212
  294.01709	0
  294.22711	0
  294.43712	0
  294.64713	0
  458.00000	204
  295.06716	0
  295.27717	0
  295.48718	0
  295.69719	0
  459.00000	198
  296.11722	0
  296.32723	0
  296.53724	0
  296.74725	0
  460.00000	207
  297.16728	0
  297.37729	0
  297.58730	0
  461.00000	204
  298.00733	0
  298.21734	0
  298.42735	0
  298.63736	0
  462.00000	203
  299.05739	0
  299.26740	0
  299.47741	0
  299.68742	0
  463.00000	214
  300.10745	0
  300.31746	0
  300.52747	0
  300.73748	0
  464.00000	220
  301.15751	0
  301.36752	0
  301.57753	0
  301.78755	0
  465.00000	182
  302.20757	0
  302.41758	0
  302.62759	0
  466.00000	222
  303.04762	0
  303.25763	0
  303.46764	0
  303.67766	0
  467.00000	215
  304.09768	0
  304.30769	0
  304.51770	0
  304.72772	0
  468.00000	205
  305.14774	0
  305.35775	0
  305.56777	0
  305.77778	0
  469.00000	216
  306.19780	0
  306.40781	0
  306.61783	0
  470.00000	186
  307.03785	0
  307.24786	0
  307.45788	0
  307.66789	0
  471.00000	211
  308.08791	0
  308.29792	0
  308.50794	0
  308.71795	0
  472.00000	220
  309.13797	0
  309.34799	0
  309.55800	0
  309.76801	0
  473.00000	194
  310.18803	0
  310.39805	0
  310.60806	0
  474.00000	179
  311.02808	0
  311.23810	0
  311.44811	0
  311.65812	0
  475.00000	200
  312.07814	0
  312.28816	0
  312.49817	0
  312.70818	0
  476.00000	194
  313.12821	0
  313.33822	0
  313.54823	0
  313.75824	0
  477.00000	195
  314.17827	0
  314.38828	0
  314.59829	0
  478.00000	208
  315.01832	0
  315.22833	0
  315.43834	0
  315.64835	0
  479.00000	189
  316.06838	0
  316.27839	0
  316.48840	0
