Intensity Value	Number of Pixels
   40.13040	0
   40.21978	0
   40.30916	0
   40.39853	0
   40.48791	0
   40.57729	0
   40.66667	0
   40.75604	0
   40.84542	0
   97.00000	1295
   41.02418	0
   41.11355	0
   41.20293	0
   41.29231	0
   41.38168	0
   41.47106	0
   41.56044	0
   41.64982	0
   41.73919	0
   41.82857	0
   98.00000	1214
   42.00733	0
   42.09670	0
   42.18608	0
   42.27546	0
   42.36484	0
   42.45421	0
   42.54359	0
   42.63297	0
   42.72234	0
   42.81172	0
   42.90110	0
   99.00000	1100
   43.07985	0
   43.16923	0
   43.25861	0
   43.34799	0
   43.43736	0
   43.52674	0
   43.61612	0
   43.70549	0
   43.79487	0
   43.88425	0
  100.00000	1023
   44.06300	0
   44.15238	0
   44.24176	0
   44.33114	0
   44.42051	0
   44.50989	0
   44.59927	0
   44.68864	0
   44.77802	0
   44.86740	0
  101.00000	1019
   45.04615	0
   45.13553	0
   45.22491	0
   45.31429	0
   45.40366	0
   45.49304	0
   45.58242	0
   45.67179	0
   45.76117	0
   45.85055	0
  102.00000	853
   46.02930	0
   46.11868	0
   46.20806	0
   46.29744	0
   46.38681	0
   46.47619	0
   46.56557	0
   46.65495	0
   46.74432	0
   46.83370	0
  103.00000	846
   47.01245	0
   47.10183	0
   47.19121	0
   47.28059	0
   47.36996	0
   47.45934	0
   47.54872	0
   47.63810	0
   47.72747	0
   47.81685	0
   47.90623	0
  104.00000	808
   48.08498	0
   48.17436	0
   48.26374	0
   48.35311	0
   48.44249	0
   48.53187	0
   48.62125	0
   48.71062	0
   48.80000	0
   48.88938	0
  105.00000	765
   49.06813	0
   49.15751	0
   49.24689	0
   49.33626	0
   49.42564	0
   49.51502	0
   49.60440	0
   49.69377	0
   49.78315	0
   49.87253	0
  106.00000	683
   50.05128	0
   50.14066	0
   50.23004	0
   50.31941	0
   50.40879	0
   50.49817	0
   50.58755	0
   50.67692	0
   50.76630	0
   50.85568	0
  107.00000	621
   51.03443	0
   51.12381	0
   51.21319	0
   51.30256	0
   51.39194	0
   51.48132	0
   51.57070	0
   51.66007	0
   51.74945	0
   51.83883	0
  108.00000	589
   52.01758	0
   52.10696	0
   52.19634	0
   52.28571	0
   52.37509	0
   52.46447	0
   52.55385	0
   52.64322	0
   52.73260	0
   52.82198	0
  109.00000	542
   53.00073	0
   53.09011	0
   53.17949	0
   53.26886	0
   53.35824	0
   53.44762	0
   53.53700	0
   53.62637	0
   53.71575	0
   53.80513	0
   53.89451	0
  110.00000	489
   54.07326	0
   54.16264	0
   54.25201	0
   54.34139	0
   54.43077	0
   54.52015	0
   54.60952	0
   54.69890	0
   54.78828	0
   54.87766	0
  111.00000	481
   55.05641	0
   55.14579	0
   55.23516	0
   55.32454	0
   55.41392	0
   55.50330	0
   55.59267	0
   55.68205	0
   55.77143	0
   55.86081	0
  112.00000	478
   56.03956	0
   56.12894	0
   56.21832	0
   56.30769	0
   56.39707	0
   56.48645	0
   56.57582	0
   56.66520	0
   56.75458	0
   56.84396	0
  113.00000	430
   57.02271	0
   57.11209	0
   57.20147	0
   57.29084	0
   57.38022	0
   57.46960	0
   57.55897	0
   57.64835	0
   57.73773	0
   57.82711	0
  114.00000	355
   58.00586	0
   58.09524	0
   58.18462	0
   58.27399	0
   58.36337	0
   58.45275	0
   58.54212	0
   58.63150	0
   58.72088	0
   58.81026	0
   58.89963	0
  115.00000	330
   59.07839	0
   59.16777	0
   59.25714	0
   59.34652	0
   59.43590	0
   59.52527	0
   59.61465	0
   59.70403	0
   59.79341	0
   59.88278	0
  116.00000	331
   60.06154	0
   60.15092	0
   60.24029	0
   60.32967	0
   60.41905	0
   60.50842	0
   60.59780	0
   60.68718	0
   60.77656	0
   60.86593	0
  117.00000	330
   61.04469	0
   61.13407	0
   61.22344	0
   61.31282	0
   61.40220	0
   61.49158	0
   61.58095	0
   61.67033	0
   61.75971	0
   61.84908	0
  118.00000	293
   62.02784	0
   62.11722	0
   62.20659	0
   62.29597	0
   62.38535	0
   62.47473	0
   62.56410	0
   62.65348	0
   62.74286	0
   62.83223	0
  119.00000	279
   63.01099	0
   63.10037	0
   63.18974	0
   63.27912	0
   63.36850	0
   63.45788	0
   63.54725	0
   63.63663	0
   63.72601	0
   63.81538	0
   63.90476	0
  120.00000	264
   64.08352	0
   64.17289	0
   64.26227	0
   64.35165	0
   64.44103	0
   64.53040	0
   64.61978	0
   64.70916	0
   64.79853	0
   64.88791	0
  121.00000	271
   65.06667	0
   65.15604	0
   65.24542	0
   65.33480	0
   65.42418	0
   65.51355	0
   65.60293	0
   65.69231	0
   65.78168	0
   65.87106	0
  122.00000	205
   66.04982	0
   66.13919	0
   66.22857	0
   66.31795	0
   66.40733	0
   66.49670	0
   66.58608	0
   66.67546	0
   66.76484	0
   66.85421	0
  123.00000	217
   67.03297	0
   67.12234	0
   67.21172	0
   67.30110	0
   67.39048	0
   67.47985	0
   67.56923	0
   67.65861	0
   67.74799	0
   67.83736	0
  124.00000	194
   68.01612	0
   68.10549	0
   68.19487	0
   68.28425	0
   68.37363	0
   68.46300	0
   68.55238	0
   68.64176	0
   68.73114	0
   68.82051	0
   68.90989	0
  125.00000	212
   69.08864	0
   69.17802	0
   69.26740	0
   69.35678	0
   69.44615	0
   69.53553	0
   69.62491	0
   69.71429	0
   69.80366	0
   69.89304	0
  126.00000	205
   70.07179	0
   70.16117	0
   70.25055	0
   70.33993	0
   70.42930	0
   70.51868	0
   70.60806	0
   70.69744	0
   70.78681	0
   70.87619	0
  127.00000	208
   71.05495	0
   71.14432	0
   71.23370	0
   71.32308	0
   71.41245	0
   71.50183	0
   71.59121	0
   71.68059	0
   71.76996	0
   71.85934	0
  128.00000	193
   72.03810	0
   72.12747	0
   72.21685	0
   72.30623	0
   72.39560	0
   72.48498	0
   72.57436	0
   72.66374	0
   72.75311	0
   72.84249	0
  129.00000	196
   73.02125	0
   73.11062	0
   73.20000	0
   73.28938	0
   73.37875	0
   73.46813	0
   73.55751	0
   73.64689	0
   73.73626	0
   73.82564	0
  130.00000	167
   74.00440	0
   74.09377	0
   74.18315	0
   74.27253	0
   74.36190	0
   74.45128	0
   74.54066	0
   74.63004	0
   74.71941	0
   74.80879	0
   74.89817	0
  131.00000	189
   75.07692	0
   75.16630	0
   75.25568	0
   75.34505	0
   75.43443	0
   75.52381	0
   75.61319	0
   75.70256	0
   75.79194	0
   75.88132	0
  132.00000	173
   76.06007	0
   76.14945	0
   76.23883	0
   76.32821	0
   76.41758	0
   76.50696	0
   76.59634	0
   76.68571	0
   76.77509	0
   76.86447	0
  133.00000	193
   77.04322	0
   77.13260	0
   77.22198	0
   77.31136	0
   77.40073	0
   77.49011	0
   77.57949	0
   77.66886	0
   77.75824	0
