DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	146	455	0.075622	190	0.221048
DP	0	147	471	0.078281	173	0.201270
DP	0	148	461	0.076619	167	0.194290
DP	0	149	446	0.074126	182	0.211741
DP	0	150	465	0.077284	163	0.189636
DP	0	151	443	0.073627	183	0.212905
DP	0	152	418	0.069472	132	0.153571
DP	0	153	431	0.071633	160	0.186146
DP	0	154	426	0.070802	159	0.184983
DP	0	155	417	0.069306	139	0.161714
DP	0	156	445	0.073960	143	0.166368
DP	0	157	470	0.078115	135	0.157061
DP	0	158	410	0.068143	149	0.173349
DP	0	159	399	0.066315	157	0.182656
DP	0	160	375	0.062326	119	0.138446
DP	0	161	365	0.060664	146	0.169858
DP	0	162	398	0.066148	142	0.165205
DP	0	163	403	0.066979	138	0.160551
DP	0	164	382	0.063489	141	0.164041
DP	0	165	382	0.063489	142	0.165205
DP	0	166	392	0.065151	136	0.158224
DP	0	167	361	0.059999	156	0.181492
DP	0	168	368	0.061162	154	0.179166
DP	0	169	334	0.055511	148	0.172185
DP	0	170	339	0.056342	154	0.179166
DP	0	171	329	0.054680	151	0.175675
DP	0	172	331	0.055013	149	0.173349
DP	0	173	339	0.056342	138	0.160551
DP	0	174	332	0.055179	148	0.172185
DP	0	175	326	0.054182	130	0.151244
DP	0	176	338	0.056176	129	0.150080
DP	0	177	330	0.054847	125	0.145427
DP	0	178	323	0.053683	127	0.147753
DP	0	179	279	0.046370	129	0.150080
DP	0	180	324	0.053849	136	0.158224
DP	0	181	323	0.053683	129	0.150080
DP	0	182	305	0.050692	137	0.159388
DP	0	183	315	0.052354	157	0.182656
DP	0	184	276	0.045872	120	0.139610
DP	0	185	294	0.048863	132	0.153571
DP	0	186	321	0.053351	140	0.162878
DP	0	187	310	0.051523	138	0.160551
DP	0	188	300	0.049861	140	0.162878
DP	0	189	299	0.049694	134	0.155897
DP	0	190	262	0.043545	113	0.131466
DP	0	191	292	0.048531	117	0.136119
DP	0	192	274	0.045539	137	0.159388
DP	0	193	289	0.048032	117	0.136119
DP	0	194	266	0.044210	124	0.144263
DP	0	195	284	0.047201	106	0.123322
DP	0	196	241	0.040055	114	0.132629
DP	0	197	262	0.043545	135	0.157061
DP	0	198	287	0.047700	116	0.134956
DP	0	199	275	0.045706	119	0.138446
DP	0	200	254	0.042215	127	0.147753
DP	0	201	249	0.041384	109	0.126812
DP	0	202	246	0.040886	127	0.147753
DP	0	203	257	0.042714	115	0.133792
DP	0	204	248	0.041218	116	0.134956
DP	0	205	223	0.037063	119	0.138446
DP	0	206	247	0.041052	105	0.122158
DP	0	207	226	0.037562	108	0.125649
DP	0	208	241	0.040055	115	0.133792
DP	0	209	233	0.038725	129	0.150080
DP	0	210	239	0.039722	106	0.123322
DP	0	211	233	0.038725	99	0.115178
DP	0	212	242	0.040221	113	0.131466
DP	0	213	219	0.036398	103	0.119832
DP	0	214	242	0.040221	109	0.126812
DP	0	215	233	0.038725	112	0.130302
DP	0	216	233	0.038725	105	0.122158
DP	0	217	227	0.037728	119	0.138446
DP	0	218	255	0.042381	113	0.131466
DP	0	219	210	0.034902	110	0.127975
DP	0	220	194	0.032243	94	0.109361
DP	0	221	219	0.036398	101	0.117505
DP	0	222	181	0.030083	95	0.110524
DP	0	223	207	0.034404	117	0.136119
DP	0	224	191	0.031745	111	0.129139
DP	0	225	200	0.033240	119	0.138446
DP	0	226	197	0.032742	103	0.119832
DP	0	227	192	0.031911	100	0.116341
DP	0	228	211	0.035069	114	0.132629
DP	0	229	222	0.036897	96	0.111688
DP	0	230	206	0.034238	80	0.093073
DP	0	231	195	0.032409	111	0.129139
DP	0	232	192	0.031911	107	0.124485
DP	0	233	208	0.034570	110	0.127975
DP	0	234	159	0.026426	128	0.148917
DP	0	235	174	0.028919	94	0.109361
DP	0	236	211	0.035069	108	0.125649
DP	0	237	198	0.032908	103	0.119832
